[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.00%, 4.043MiB / 3.871GiB, 0.10%, 29.1kB / 13.7kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.28%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.55%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.66MiB / 125MiB, 3.73%, 11.5kB / 5.99kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.69%, 9.418MiB / 3.871GiB, 0.24%, 447kB / 719kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.33%, 8.918MiB / 3.871GiB, 0.22%, 730kB / 473kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.59kB / 4.62kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.28%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.55%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.66MiB / 125MiB, 3.73%, 11.5kB / 5.99kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.69%, 9.418MiB / 3.871GiB, 0.24%, 447kB / 719kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 12.64%, 8.918MiB / 3.871GiB, 0.22%, 741kB / 481kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 2MiB / 50MiB, 4.00%, 5.76kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.34%, 4.664MiB / 125MiB, 3.73%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.67%, 9.422MiB / 3.871GiB, 0.24%, 456kB / 730kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 12.64%, 8.918MiB / 3.871GiB, 0.22%, 741kB / 481kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.04%, 2MiB / 50MiB, 4.00%, 5.76kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.34%, 4.664MiB / 125MiB, 3.73%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.67%, 9.422MiB / 3.871GiB, 0.24%, 456kB / 730kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.84%, 8.918MiB / 3.871GiB, 0.22%, 752kB / 489kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.21%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.33%, 4.672MiB / 125MiB, 3.74%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.43%, 9.438MiB / 3.871GiB, 0.24%, 464kB / 740kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.84%, 8.918MiB / 3.871GiB, 0.22%, 752kB / 489kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.21%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.33%, 4.672MiB / 125MiB, 3.74%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.43%, 9.438MiB / 3.871GiB, 0.24%, 464kB / 740kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.84%, 8.918MiB / 3.871GiB, 0.22%, 752kB / 489kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.21%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.25%, 4.672MiB / 125MiB, 3.74%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.43%, 9.438MiB / 3.871GiB, 0.24%, 464kB / 740kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.65%, 8.918MiB / 3.871GiB, 0.22%, 762kB / 497kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.25%, 4.672MiB / 125MiB, 3.74%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.32%, 9.438MiB / 3.871GiB, 0.24%, 472kB / 752kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.65%, 8.918MiB / 3.871GiB, 0.22%, 762kB / 497kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.27%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.25MiB / 500MiB, 3.85%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.25%, 4.672MiB / 125MiB, 3.74%, 11.7kB / 6.16kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.32%, 9.438MiB / 3.871GiB, 0.24%, 472kB / 752kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.76%, 8.918MiB / 3.871GiB, 0.22%, 785kB / 507kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.72%, 19.38MiB / 500MiB, 3.88%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.31%, 4.676MiB / 125MiB, 3.74%, 11.9kB / 6.27kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.16%, 9.438MiB / 3.871GiB, 0.24%, 481kB / 774kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.76%, 8.918MiB / 3.871GiB, 0.22%, 785kB / 507kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 1.72%, 19.38MiB / 500MiB, 3.88%, 27.7kB / 5.78kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.31%, 4.676MiB / 125MiB, 3.74%, 11.9kB / 6.27kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 24.16%, 9.438MiB / 3.871GiB, 0.24%, 481kB / 774kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.84%, 8.918MiB / 3.871GiB, 0.22%, 797kB / 517kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.31%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.63%, 19.46MiB / 500MiB, 3.89%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.676MiB / 125MiB, 3.74%, 11.9kB / 6.27kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.78%, 9.438MiB / 3.871GiB, 0.24%, 489kB / 786kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 14.84%, 8.918MiB / 3.871GiB, 0.22%, 797kB / 517kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.83kB / 4.85kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.31%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.63%, 19.46MiB / 500MiB, 3.89%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.29%, 4.676MiB / 125MiB, 3.74%, 11.9kB / 6.27kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.78%, 9.438MiB / 3.871GiB, 0.24%, 489kB / 786kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.90%, 8.922MiB / 3.871GiB, 0.23%, 807kB / 525kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.19%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.46MiB / 500MiB, 3.89%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.46%, 4.68MiB / 125MiB, 3.74%, 12.2kB / 6.38kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.87%, 9.438MiB / 3.871GiB, 0.24%, 497kB / 796kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.90%, 8.922MiB / 3.871GiB, 0.23%, 807kB / 525kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.19%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 19.46MiB / 500MiB, 3.89%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.46%, 4.68MiB / 125MiB, 3.74%, 12.2kB / 6.38kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.87%, 9.438MiB / 3.871GiB, 0.24%, 497kB / 796kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.66%, 8.926MiB / 3.871GiB, 0.23%, 818kB / 533kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 19.46MiB / 500MiB, 3.89%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.35%, 4.68MiB / 125MiB, 3.74%, 12.2kB / 6.38kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.25%, 9.438MiB / 3.871GiB, 0.24%, 506kB / 807kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.66%, 8.926MiB / 3.871GiB, 0.23%, 818kB / 533kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.02%, 19.46MiB / 500MiB, 3.89%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.35%, 4.68MiB / 125MiB, 3.74%, 12.2kB / 6.38kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.25%, 9.438MiB / 3.871GiB, 0.24%, 506kB / 807kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.17%, 8.926MiB / 3.871GiB, 0.23%, 841kB / 542kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.56%, 19.67MiB / 500MiB, 3.93%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.48%, 4.688MiB / 125MiB, 3.75%, 12.4kB / 6.48kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.58%, 9.441MiB / 3.871GiB, 0.24%, 515kB / 830kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.17%, 8.926MiB / 3.871GiB, 0.23%, 841kB / 542kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.26%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 2.56%, 19.67MiB / 500MiB, 3.93%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.48%, 4.688MiB / 125MiB, 3.75%, 12.4kB / 6.48kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 23.58%, 9.441MiB / 3.871GiB, 0.24%, 515kB / 830kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.63%, 8.926MiB / 3.871GiB, 0.23%, 852kB / 551kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.42%, 19.82MiB / 500MiB, 3.96%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.35%, 4.695MiB / 125MiB, 3.76%, 12.4kB / 6.48kB, 160kB / 0B
OK,7,1,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 2.88kB / 0B, 4.1kB / 0B
OK,7,1,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 21.60%, 9.441MiB / 3.871GiB, 0.24%, 523kB / 840kB, 4.66MB / 0B
[2J[HOK,7,1,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 8.63%, 8.926MiB / 3.871GiB, 0.23%, 852kB / 551kB, 0B / 0B
OK,7,1,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2MiB / 50MiB, 4.00%, 5.94kB / 5.08kB, 0B / 0B
OK,7,1,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.23%, 9.922MiB / 50MiB, 19.84%, 3.6kB / 1.02kB, 2.74MB / 0B
OK,7,1,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.42%, 19.82MiB / 500MiB, 3.96%, 29.6kB / 6.15kB, 27.8MB / 0B
OK,7,1,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.35%, 4.695MiB / 125MiB, 3.76%, 12.4kB / 6.48kB, 160kB / 0B
